t,A,E,RA,RI,R,Q,U,X,M_or_V,total_prot,a,e,r,q,x
20.1962182402382,17.9261903104445,26.2750625178562,16.3728314444706,155.500438050721,171.873269495192,157.918665610438,0,39.2296664026096,413.222854336541,395.296664026096,0.0433814105931442,0.0635856953266603,0.4159336002147,0.382163435427569,0.0949358584379262
20.2128931821446,17.9934215855181,26.3731823052196,16.4354254306772,156.080860448152,172.516285878829,158.511574547239,0,39.3778936368098,414.772357953616,396.778936368098,0.043381438614408,0.0635847153251445,0.415930045893082,0.382165232344065,0.0949385678233009
20.229568124051,18.0603560441879,26.4716874398289,16.4930959188373,156.668862311719,173.161958230556,159.106916536308,0,39.526729134077,416.327647384957,398.26729134077,0.0433801506040466,0.0635837845651211,0.415927117303458,0.38216754889014,0.0949413986372338
20.2462430659574,18.1276824449742,26.5705622050334,16.5524115064718,157.257557925563,173.809969432035,159.704425309655,0,39.6761063274136,417.888745719111,399.761063274136,0.0433792070992,0.0635828614128152,0.41592402574264,0.382169720878298,0.094944184867047
20.265138930394,18.2056213680615,26.683025556634,16.6327937342344,157.913778143474,174.546571877709,160.383677947474,0,39.8459194868685,419.664816236747,401.459194868685,0.0433813383054516,0.0635817550680285,0.415919002795891,0.382170893871161,0.0949470099594676
20.2840347948305,18.2831330675043,26.7959916913388,16.7063631642905,158.580281110133,175.286644274424,161.06610877261,0,40.0165271931525,421.448404999029,403.165271931525,0.0433816639252589,0.0635807168172827,0.415914836063569,0.382172780492504,0.0949500027013857
20.3029306592671,18.3592914716824,26.9094861085876,16.764254139252,159.266385431924,176.030639571176,161.752100543811,0,40.1880251359527,423.239542831209,404.880251359527,0.0433780155532495,0.0635798014726599,0.415912554846932,0.382176248140214,0.094953379986945
20.3218265237036,18.4363507629184,27.023454479802,16.8279853081996,159.949517836109,176.777503144309,162.440766099289,0,40.3601915248222,425.038266011141,406.601915248222,0.0433757434029133,0.0635788742820951,0.415909618687546,0.382179156770396,0.0949566068570502
20.3390220288847,18.5096098940877,27.1275230018664,16.9135017135472,160.54504696161,177.458548675157,163.068857341619,0,40.5172143354047,426.681753248135,408.172143354047,0.0433803642953617,0.0635778839740788,0.415903767443172,0.382179120855883,0.0949588634315049
20.3562175340657,18.5817104620488,27.2320360759547,16.9856252909743,161.157268777926,178.1428940689,163.699944115884,0,40.674986028971,428.331570751759,409.74986028971,0.043381603717504,0.0635769995383721,0.415899518581467,0.382180430521562,0.0949614476410947
